"コンテンツID
※空欄で構いません。特定の値を設定したい場合に入力してください。",year,genre,publications
,2025,学術論文-Journal,"<p>[25-J009] Rintaro Miyazaki, Yuichiro Hayashi, Masahiro Oda, Kensaku Mori, ``GPU-accelerated deformation mapping in hybrid organ models for real-time simulation,`` International Journal of Computer Assisted Radiology and Surgery, (First online 07 July 2025) doi:10.1007/s11548-025-03377-2</p> <p>[25-J008] Hironari Shiwaku, Masashi Misawa, Haruhiro Inoue, Kai Jiang, Masahiro Oda, Pietro Familiari, Guido Costamagna, Yuto Shimamura, Yuichiro Ikebuchi, Yugo Iwaya, Masaki Ominami, Bu`Hussain Hayee, Khek-Yu Ho, Jimmy B Y So, Hein Myat Thu Htet, Pradeep Bhandari, Kevin Grimes, Helmut Messmann, Bianca Maria Quarta Colosso, Roberta Maselli, Cesare Hassan, Alessandro Repici, Stavros N Stavropoulos, Norio Fukami, Robert Bechara, Michel Kahaleh, Amrita Sethi, Torsten Beyna, Horst Neuhaus, Philip W Y Chiu, Esperanza Grace Santi, Prateek Sharma, Nikolas Eleftheriadis, Hitomi Minami, Gregory Haber, Peter V Draganov, Stefan Seewald, Akio Shiwaku, Yoshiyuki Shiwaku, Kensaku Mori, Shin-Ei Kudo, Suguru Hasegawa, ``Computer-aided detection for esophageal achalasia (with video),`` Digestive Endoscopy, (First online 12 June 2025) doi:10.1111/den.15028</p> <p>[25-J007] Leo Uramoto, Yuichiro Hayashi, Masahiro Oda, Takayuki Kitasaka, Kensaku Mori, ``Semantic segmentation dataset authoring with simplified labels,`` International Journal of Computer Assisted Radiology and Surgery, (First online 05 April 2025) doi:10.1007/s11548-024-03314-9</p> <p>[25-J006] Qin An, Hirohisa Oda, Yuichiro Hayashi, Takayuki Kitasaka, Aitaro Takimoto, Akinari Hinoki, Hiroo Uchida, Kojiro Suzuki, Masahiro Oda, Kensaku Mori, ``Bidirectional teaching between lightweight multi-view networks for intestine segmentation from CT volume,`` Journal of Medical Imaging, Vol.12, No.2, 024003 (2025/03) doi:10.1117/1.JMI.12.2.024003</p> <p>[25-J005] Sadayuki Ito, Hiroaki Nakashima, Naoki Segi, Jun Ouchida, Ippei Yamauchi, Takashi Hirai, Masahiro Oda, Kensaku Mori, Masashi Yamazaki, Toshitaka Yoshii, Shiro Imagama, ``Development of a YOLOv3-Based Model for Automated Detection of Thoracic Ossification of the Posterior Longitudinal Ligament and the Ligamentum Flavum on Plain Radiographs,`` Journal of Clinical Medicine, Vol.14, No.7, 2389 (2025/03) doi:10.3390/jcm14072389</p> <p>[25-J004] Wenda Li, Yuichiro Hayashi, Masahiro Oda, Takayuki Kitasaka, Kazunari Misawa, Kensaku Mori, ``Enhanced self-supervised monocular depth estimation with self-attention and joint depth-pose loss for laparoscopic images,`` International Journal of Computer Assisted Radiology and Surgery, (First online 28 February 2025) doi:10.1007/s11548-025-03332-1</p> <p>[25-J003] Qin An, Hirohisa Oda, Yuichiro Hayashi, Takayuki Kitasaka, Hiroo Uchida, Akinari Hinoki, Kojiro Suzuki, Aitaro Takimoto, Masahiro Oda, Kensaku Mori, ``Multi-dimensional consistency learning between 2D Swin U-Net and 3D U-Net for intestine segmentation from CT volume,`` International Journal of Computer Assisted Radiology and Surgery, (First online 22 February 2025) doi:10.1007/s11548-024-03252-6</p> <p>[25-J002] Kominami T, Ueno S, Ota J, Inooka T, Oda M, Mori K, Nishiguchi KM, ``Classification of fundus autofluorescence images based on macular function in retinitis pigmentosa using convolutional neural networks,`` Japanese Journal of Ophthalmology, Vol.69, Issue 2, pp. 236-244 (2025/02/18) doi:10.1007/s10384-025-01163-w</p> <p>[25-J001] Luyang Zhang, Yuichiro Hayashi, Masahiro Oda, Kensaku Mori, ``Double-mix pseudo-label framework: enhancing semi-supervised segmentation on category-balanced CT volumes,`` International Journal of Computer Assisted Radiology and Surgery, (First online 11 February 2025) doi:10.1007/s11548-024-03281-1</p>"
,2025,学会誌（解説記事）-Academic journal,"<p>[25-M003] 小田 昌宏, ``基盤モデルの現状と将来展望,`` 月刊インナービジョン2025年7月号, Vol.40, No.7, pp.54-57 (2025/06/25)</p> <p>[25-M002] 小田 昌宏, 魯 仲陽, 森 健策, ``Diffusion Modelの医用画像処理への応用と実装,`` Medical Imaging Technology, 43巻, 2号, pp.46-51 (2025/06/21) doi:10.11409/mit.43.46</p> <p>[25-M001] 森 健策, ``人工知能（AI）の最新動向・AI分野における最新動向,`` 月刊インナービジョン2025年2月号 (2025/01/25)</p>"
,2025,招待講演-Invited lecture,"<p>[25-IL006] 森 健策, ``生成 AI をはじめとした AI による社会変容とリスクマネジメント,`` パネル討論, 日本工学アカデミー 第 9 回賛助会員企業ラウンドテーブル, オンライン, (2025/07/25)</p> <p>[25-IL005] 森 健策, ``AIによる医用画像診断支援機器の社会実装に向けて -内視鏡映像自動診断装置の開発と今後の展望-,`` 「画像診断支援AIシステムの開発」セミナー, EPOC/CPOTセミナー, オンライン, (2025/06/25)</p> <p>[25-IL004] 森 健策, ``生体医工学分野における信頼されるAI,`` 第64回日本生体医工学会大会, OS2-3-1-1, フェニックスプラザ, 福井市, (2025/06/06)</p> <p>[25-IL003] 森 健策, 淺間 一, 中島 義和, ``生成 AI をはじめとしたAI による社会変容とリスクマネジメントに関する調査研究,`` 一般財団法人 新技術振興渡辺記念会報告会, 法曹会館, (2025/04/25)</p> <p>[25-IL002] 小田 昌宏, ``Development and future prospects of public AI models using JOI Registry,`` 第129回日本眼科学会総会, 東京国際フォーラム, (2025/04/19)</p> <p>[25-IL001] 小田 昌宏, 古川 亮, 森 健策, ``最新の研究動向2024 画像セグメンテーションとMICCAI総括,`` 医用画像研究会（MI), かがわ国際会議場, (2025/03/19)</p>"
,2025,国際会議-International conference,"<p>[24-I025] M. Oda, Y. Hayashi, Y. Otake, M. Hashimoto, T. Akashi, S. Aoki, K. Mori, ’Left-Right Relationship-Aware 3D Volume Classification Method,’ CARS 2025 Computer Assisted Radiology and Surgery 39th International Congress and Exhibition, June 17 – 20, 2025, [PO-25-00071], Langenbeck-Virchow-Haus, Berlin, Germany (2025/06/19)</p><p>[24-I024] M. Oda, C. Wang, S. Kawamura, T. Takebe, K. Mori, ’Preliminary Study on Report Generation of Thrombosis Formation Study from Confocal Laser Scanning Microscopy Images,’ CARS 2025 Computer Assisted Radiology and Surgery 39th International Congress and Exhibition, June 17 – 20, 2025, [PO-117], Langenbeck-Virchow-Haus, Berlin, Germany (2025/06/19)</p><p>[24-I023] M. Oda, C. Wang, S. Kawamura, T. Takebe, K. Mori, ’Fine-tuning Foundation Monocular Relative Depth Estimation Model to Metric Depth Estimation Model by Low-rank Adaptation for Colonoscopic Video,’ CARS 2025 Computer Assisted Radiology and Surgery 39th International Congress and Exhibition, June 17 – 20, 2025, [PO-118], Langenbeck-Virchow-Haus, Berlin, Germany (2025/06/19)</p><p>[24-I022] D. Matsumoto, T. Kikuchi, K. Yamamoto, R. Oishi, Y. Kondo, Y. Yamagishi, S. Hanaoka, T. Yoshikawa, T. Hu, M. Oda, K. Mori, Y. Nomura, T. Kohro, H. Mori, ’Feasibility of using Segment Anything Model 2-generated labels for mediastinal lymph node segmentation model development,’ CARS 2025 Computer Assisted Radiology and Surgery 39th International Congress and Exhibition, June 17 – 20, 2025, [PO-37], Langenbeck-Virchow-Haus, Berlin, Germany (2025/06/19)</p><p>[24-I021] N. Onozaka, H. Itoh, M. Oda, M. Misawa, Y. Mori, S. E. Kudo, K. Mori, ’Colonoscope Motion Estimation with a pretrained Depth-Estimation Model Toward Colon 3D Reconstruction,’ CARS 2025 Computer Assisted Radiology and Surgery 39th International Congress and Exhibition, June 17 – 20, 2025, [LE-113], Langenbeck-Virchow-Haus, Berlin, Germany (2025/06/19)</p><p>[24-I020] K. Nguyen, C. Wang, M. Oda, K. Mori, ’Automated findings report generation using VLM from longitudinal 3D CT volumes,’ CARS 2025 Computer Assisted Radiology and Surgery 39th International Congress and Exhibition, June 17 – 20, 2025, [LE-26], Langenbeck-Virchow-Haus, Berlin, Germany (2025/06/19)</p><p>[24-I019] Z. Shi, Y. Heng, C. Wang, M. Oda, K. Mori, ’Automated generation of Japanese medical reports from 3D abdominal CT volumes,’ CARS 2025 Computer Assisted Radiology and Surgery 39th International Congress and Exhibition, June 17 – 20, 2025, [LE-73], Langenbeck-Virchow-Haus, Berlin, Germany (2025/06/19)</p><p>[24-I018] Y. Heng, K. Mori, C. Wang, M. Oda, K. Katayama, ’Rheumatoid Arthritis Detection from Hand X-Ray Images Using ResNet? and Spatial Attention Mechanisms,’ CARS 2025 Computer Assisted Radiology and Surgery 39th International Congress and Exhibition, June 17 – 20, 2025, [LE-25-00121], Langenbeck-Virchow-Haus, Berlin, Germany (2025/06/18)</p><p>[24-I017] Z. Lu, T. Hu, M. Oda, Y. Fuse, R. Saito, M. Jinzaki, K. Mori, ’Synthetic Data Generation with Worley-Perlin Diffusion for Robust Subarachnoid Hemorrhage Detection in Imbalanced CT Datasets,’ CARS 2025 Computer Assisted Radiology and Surgery 39th International Congress and Exhibition, June 17 – 20, 2025, [LE-25-00134], Langenbeck-Virchow-Haus, Berlin, Germany (2025/06/18)</p><p>[24-I016] R. Miyazaki, Y. Hayashi, M. Oda, K. Misawa, K. Mori, ’Simulation of Multi-organ Deformation Using Octree Cube Structures and Textured Transparent Particles for Laparoscopic Cholecystectomy,’ CARS 2025 Computer Assisted Radiology and Surgery 39th International Congress and Exhibition, June 17 – 20, 2025, [LE-78], Langenbeck-Virchow-Haus, Berlin, Germany (2025/06/19)</p><p>[24-I015] Y. Feng, Y. Heng, Y. Hayashi, M. Oda, T. Kitasaka, A. Yasui, C. Shiroda, H. Uchida, K. Mori, ’Automated skill evaluation method for robotic surgery kinematic data utilizing segmented convolution neural network,’ CARS 2025 Computer Assisted Radiology and Surgery 39th International Congress and Exhibition, June 17 – 20, 2025, [LE-116], Langenbeck-Virchow-Haus, Berlin, Germany (2025/06/19)</p><p>[24-I014] X. Zhao, Y. Hayashi, M. Oda, T. Kitasaka, K. Mori, ’Diffusion-Driven Distillation and Contrastive Semantic Segmentation for Class-Incremental Learning of Laparoscopic Images,’ IPCAI 2025 – 16th International Conference on Information Processing in Computer-Assisted Interventions, June 17 – 18, 2025, [IPCAI-111], Langenbeck-Virchow-Haus, Berlin, Germany (2025/06/18)</p><p>[25-I013] Yuta Ueno, Masahiro Oda, Hiroki Maehara, Yoshikazu Ito, Takefumi Yamaguchi, Yoshiyuki Kitaguchi, Dai Miyazaki, Taiichiro Chikama, Ryohei Nejima, Kensaku Mori, Tetsuro Oshika, ’AI automatic classification of corneal color images captured by autorefractometer,’ The 6th Annual Meeting of the Japanese Society of Artificial Intelligence in Ophthalmology (JSAIO), SY4-2, コンゴレスクエア グラングリーン大阪, 2025/06/27 – 2025/06/28 (2025/06/28)</p><p>[25-I012] Hiroki Maehara, Yuta Ueno, Masahiro Oda, Yoshikazu Ito, Yoshiyuki Kitaguchi, Dai Miyazaki, Taiichiro Chikama, Ryohei Nejima, Kensaku Mori, Takefumi Yamaguchi, Tetsuro Oshika, ’Performance comparison of YOLOv5 and YOLOX in AI classification of 9 anterior corneal diseases,’ The 6th Annual Meeting of the Japanese Society of Artificial Intelligence in Ophthalmology (JSAIO), O1-1, コンゴレスクエア グラングリーン大阪, 2025/06/27 – 2025/06/28 (2025/06/27)</p><p>[25-I011] Qin An, Hirohisa Oda, Yuichiro Hayashi, Takayuki Kitasaka, Aitaro Takimoto, Akinari Hinoki, Hiroo Uchida, Kojiro Suzuki, Masahiro Oda, Kensaku Mori, ’Use of Distance Map Weights for Intestine segmentation from CT Volumes,’ IFMIA 2025, P-27, IF250117, かがわ国際会議場 (2025/03/21)</p><p>[25-I010] Chuanyu Qi, Cheng Wang, Masahiro Oda, Kensaku Mori, ’RLHF-based Q&A Pairs generation from Finding Texts of Abdominal CT images for Fine-Tuning of Medical Large Multimodal Models,’ IFMIA 2025, P-100, IF250083, かがわ国際会議場 (2025/03/21)</p><p>[25-I009] Rintaro Miyazaki, Yuichiro Hayashi, Masahiro Oda, Kazunari Misawa, Kensaku Mori, ’Modeling of Fat Tissue Using Textured Transparent Particles for Laparoscopic Surgery Simulations,’ IFMIA 2025, P-85, IF250031, かがわ国際会議場 (2025/03/21)</p><p>[25-I008] Luyang Zhang, Masahiro Oda, Kensaku Mori, ’SemiOrth?: A novel orthogonal dual network architecture for enhanced semi-supervised medical image segmentation,’ SPIE Medical Imaging 2025, Town and County Resort, San Diego, USA, 2025/02/16 – 2025/02/20 (2025/02/19)</p><p>[25-I007] Zhongyang Lu, Tao Hu, Masahiro Oda, Yuichiro Hayashi, Takeyuki Watadani, Kensaku Mori, ’WPDM: Enhancing subarachnoid hemorrhage CT detection with Worley-Perlin noise diffusion on imbalanced data,’ SPIE Medical Imaging 2025, Paper 13407-47, Town and County Resort, San Diego, USA, 2025/02/16 – 2025/02/20 (2025/02/20)</p><p>[25-I006] Cheng Wang, Yuichiro Hayashi, Masahiro Oda, Shuntaro Kawamura, Takanori Takebe, Kensaku Mori, ’Prior knowledge-based blood vessel simulation and thrombus visualization using confocal laser scanning microscopic images,’ SPIE Medical Imaging 2025, Paper 13410-23, Town and County Resort, San Diego, USA, 2025/02/16 – 2025/02/20 (2025/02/19)</p><p>[25-I005] Yuxuan Feng, Yuichiro Hayashi, Masahiro Oda, Takayuki Kitasaka, Akihiro Yasui, Chiyoe Shirota, Hiroo Uchida, Kensaku Mori, ’Automated skill evaluation method for surgical images using optical flow and attention mechanism,’ SPIE Medical Imaging 2025, Paper 13408-28, Town and County Resort, San Diego, USA, 2025/02/16 – 2025/02/20 (2025/02/19)</p><p>[25-I004] Guotai Dong, Masahiro Oda, Yuichiro Hayashi, Kensaku Mori, Kazunari Misawa, ’Uncertainty-aware semi-supervised learning for enhanced multi-organ segmentation in CT volumes,’ SPIE Medical Imaging 2025, Paper 13406-76, Town and County Resort, San Diego, USA, 2025/02/16 – 2025/02/20 (2025/02/19)</p><p>[25-I003] Keigo Enomoto, Yuichiro Hayashi, Kazunari Misawa, Takayuki Kitasaka, Masahiro Oda, Kensaku Mori, ’Estimation of hidden blood vessel locations in laparoscopic videos by combining preoperative and intraoperative information,’ SPIE Medical Imaging 2025, Paper 13408-62, Town and County Resort, San Diego, USA, 2025/02/16 – 2025/02/20 (2025/02/17)</p><p>[25-I002] Tao Hu, Hayato Itoh, Masahiro Oda, Shinji Saiki, Nobutaka Hattori, Koji Kamagata, Wataru Sako, Kei-ichi Ishikawa, Shigeki Aoki, Kensaku Mori, ’Content-consistent adaptation network for substantia nigra segmentation in cross-modalities and -datasets scenarios without retraining,’ SPIE Medical Imaging 2025, Paper 13406-114, Town and County Resort, San Diego, USA, 2025/02/16 – 2025/02/20 (2025/02/19)</p><p>[25-I001] Guannan Yao, Yuichiro Hayashi, Masahiro Oda, Kazunari Misawa, Kensaku Mori, ’Enhanced sequential picking strategy with hyperparameter optimization for efficient surgical phase recognition,’ SPIE Medical Imaging 2025, Paper 13408-25, Town and County Resort, San Diego, USA, 2025/02/16 – 2025/02/20 (2025/02/19)</p>"
,2025,研究会-Workshop,"<p>[25-W001] 小野坂 捺, 伊東 隼人, 小田 昌宏, 三澤 将史, 森 悠一, 工藤 進英, 森 健策, “深層学習を用いた大腸内視鏡運動推定の定量評価,” 電子情報通信学会技術研究報告(MI), 信学技報, vol.123, no.448, MI2024-72, pp.94–97, かがわ国際会議場 (2025/03/19)</p> <p>[25-W002] Guotai Dong, Masahiro Oda, Yuichiro Hayashi, Kazunari Misawa, Kensaku Mori, “An Investigation of Labeled Data Ratio in Uncertainty-Aware Semi-Supervised Learning for Multi-Organ Segmentation,” 電子情報通信学会技術研究報告(MI), 信学技報, vol.124, no.448, MI2024-51, pp.17–20, かがわ国際会議場 (2025/03/19)</p>"
,2025,Book chapter,"<p>[25-BC002] 小田 昌宏, “AIとバイオの融合最前線,” 画像AIによる診断支援, シーエムシー出版, pp.78–83 (総229ページ), ISBN 978-4-7813-1867-7 (2025/05/28)</p> <p>[25-BC001] 森 健策, “AIとバイオの融合最前線,” 機械学習とその医療支援応用, シーエムシー出版, pp.71–77 (総229ページ), ISBN 978-4-7813-1867-7 (2025/05/28)</p>"
,2025,プレスリリース-Press release,"<p>[25-P001] 世界初、CT画像をAIが比較・解析し日本語の所見文を生成 ～放射線科医の経過観察支援に期待～, 2025/04/25</p>"
,2025,その他-Others,"<p>[25-O001] 森健策, 淺間 一, 中島 義和, 「生成 AI をはじめとしたAI による社会変容とリスクマネジメントに関する調査研究」,日本工学アカデミー, 2025/02</p>"
,2024,学術論文-Journal,"<p>[24-J012] Ruiyun Zhu, Masahiro Oda, Yuichiro Hayashi, Takayuki Kitasaka, Kazunari Misawa, Michitaka Fujiwara, Kensaku Mori, ’Skeleton-guided 3D convolutional neural network for tubular structure segmentation,’ International Journal of Computer Assisted Radiology and Surgery (2024/09/12) doi:10.1007/s11548-024-03215-x</p><p>[24-J011] Yosuke Taki, Yuta Ueno, Masahiro Oda, Yoshiyuki Kitaguchi, Osama M. A. Ibrahim, Naohiko Aketa, Takefumi Yamaguchi, ’Analysis of the performance of the CorneAI for iOS in the classification of corneal diseases and cataracts based on journal photographs,’ Scientific Reports, Vol.14, 15517 (2024/07) doi:10.1038/s41598-024-66296-3</p><p>[24-J010] Zhou Zheng, Yuichiro Hayashi, Masahiro Oda, Takayuki Kitasaka, Kazunari Misawa, Kensaku Mori, ’Federated 3D multi-organ segmentation with partially labeled and unlabeled data,’ International Journal of Computer Assisted Radiology and Surgery (2024/05/08) doi:10.1007/s11548-024-03139-6</p><p>[24-J009] Tsuyoshi Igami, Akihiro Maehigashi, Yoshihiko Nakamura, Yuichiro Hayashi, Masahiro Oda, Yukihiro Yokoyama, Takashi Mizuno, Junpei Yamaguchi, Shunsuke Onoe, Masaki Sunagawa, Nobuyuki Watanabe, Taisuke Baba, Shoji Kawakatsu, Kensaku Mori, Kazuhisa Miwa, Tomoki Ebata, ’A clinical assessment of three-dimensional-printed liver model navigation for thrice or more repeated hepatectomy based on a conversation analysis,’ Surgery Today (2024/04) doi:10.1007/s00595-024-02835-9</p><p>[24-J008] Kazuhiro Furukawa, Masahiro Oda, Osamu Watanabe, Masanao Nakamura, Takeshi Yamamura, Keiko Maeda, Kensaku Mori, Hiroki Kawashima, ’Artificial intelligence-based diagnostic imaging system with virtual enteroscopy and virtual unfolded views to evaluate small bowel lesions in Crohn’s disease,’ Revista Espanola de Enfermedades Digestivas (2024/03) doi:10.17235/reed.2024.10405/2024</p><p>[23-J007] Hayato Itoh, Masahiro Oda, Shinji Saiki, Koji Kamagata, Wataru Sako, Kei-ichi Ishikawa, ’Preliminary study of substantia nigra analysis by tensorial feature extraction,’ International Journal of Computer Assisted Radiology and Surgery (2024/03) doi:10.1007/s11548-024-03175-2</p><p>[24-J006] Chen Shen, Holger R. Roth, Yuichiro Hayashi, Masahiro Oda, Gen Sato, Tadaaki Miyamoto, Daniel Rueckert & Kensaku Mori, ’Anatomical attention can help to segment the dilated pancreatic duct in abdominal CT,’ International Journal of Computer Assisted Radiology and Surgery, Vol.19, pp.655–664 (2024/03) doi:10.1007/s11548-023-03049-z</p><p>[24-J005] Akihiro Maehigashi, Kazuhisa Miwa, Masahiro Oda, Yoshihiko Nakamura, Kensaku Mori, Tsuyoshi Igami, ’Use of 3D-printed model of liver by experts and novices,’ Current Psychology (2024/02) doi:10.1007/s12144-024-05676-4</p><p>[24-J004] Yuta Ueno, Masahiro Oda, Takefumi Yamaguchi, Hideki Fukuoka, Ryohei Nejima, Yoshiyuki Kitaguchi, Masahiro Miyake, Masato Akiyama, Kazunori Miyata, Kenji Kashiwagi, Naoyuki Maeda, Jun Shimazaki, Hisashi Noma, Kensaku Mori, Tetsuro Oshika, ’Deep learning model for extensive smartphone-based diagnosis and triage of cataracts and multiple corneal diseases,’ British Journal of Ophthalmology (First online 19 January 2024) doi:10.1136/bjo-2023-324488</p><p>[24-J003] Yuzhang Liu, Yuichiro Hayashi, Masahiro Oda, Takayuki Kitasaka, Kensaku Mori, ’YOLOv7-RepFPN: Improving real-time performance of laparoscopic tool detection on embedded systems,’ Healthcare Technology Letters (First online 23 January 2024) doi:10.1049/htl2.12072</p><p>[24-J002] Luyang Zhang, Yuichiro Hayashi, Masahiro Oda, Kensaku Mori, ’Towards better laparoscopic video segmentation: A class-wise contrastive learning approach with multi-scale feature extraction,’ Healthcare Technology Letters (First online 13 January 2024) doi:10.1049/htl2.12069</p><p>[24-J001] Zhou Zheng, Yuichiro Hayashi, Masahiro Oda, Takayuki Kitasaka, Kensaku Mori, ’Revisiting instrument segmentation: Learning from decentralized surgical sequences with various imperfect annotations,’ Healthcare Technology Letters (First online 08 January 2024) doi:10.1049/htl2.12068</p>"
,2024,学会誌（解説記事）-Academic journal,"<p>[24-M007] 伊藤 定之, 中島 宏彰, 世木 直喜, 大内田 隼, 小田 昌宏, 山内 一平, 大出 幸史, 長谷 康弘, 岡田 裕也, 鏡味 佑志朗, 森 健策, 今釜 史郎, ’特集 放射線科と人工知能 脊椎・脊髄疾患の画像診断におけるAI利用の現状,’ 臨床放射線, Vol.69, No.6, pp.787–792, (2024/11/10) doi:10.18888/rp.0000002786</p><p>[24-M006] 森 健策, ’これからの病理AI,’ 病理と臨床, Vol.42, No.8, pp.0825–0829, (2024/08)</p><p>[24-M005] 森 健策, ’AI搭載内視鏡画像診断支援プログラム (EndoBRAINシリーズ) の開発から保険収載までの道程,’ インナービジョン, Vol.39, No.7, pp.6–9, (2024/07)</p><p>[24-M004] 小田 昌宏, ’内視鏡画像からの深度推定,’ バイオメカニズム学会誌, Vol.48, No.2, pp.51–55, (2024/05/01)</p><p>[24-M003] 小田 昌宏, ’生成AIがもたらす医用画像処理の変革,’ 医用画像情報学会雑誌, Vol.41, No.1, pp.10–14, (2024/03/22)</p><p>[24-M002] 森 健策, ’人工知能（AI）の最新動向 - RSNA 2023におけるAIトピックス,’ 月刊インナービジョン2024年2月号, (2024/01/25)</p><p>[24-M001] 森 健策, ’画像情報学の立場からみた脳神経内科とSociet 5.0,’ 脳神経内科, Vol.100, No.2, pp.176–182, (2024/02/25)</p>"
